Loss Function,Test Loss,Test MAE,I_trapez - I_pred,I_ref - I_pred,I_ref - I_trapez
MeanAbsoluteError,0.06427159160375595,0.06427159160375595,0.0005541127867267903,0.0017830112395103015,0.0012288984527835112
Huber,0.0007479822379536927,0.02989833429455757,0.00439325131519297,0.005622149767976481,0.0012288984527835112
MeanSquaredError,0.0011790291173383594,0.027795054018497467,0.018943363905613353,0.020172262358396864,0.0012288984527835112
LogCosh,0.0012716621858999133,0.041910599917173386,0.04280562994391879,0.04157673149113528,0.0012288984527835112
Huber,0.0006434450042434037,0.026503922417759895,0.005200407188661771,0.006429305641445282,0.0012288984527835112
MeanSquaredError,0.0009661234216764569,0.021626345813274384,0.006269723082290568,0.007498621535074079,0.0012288984527835112
LogCosh,0.0007521106163039804,0.030167223885655403,0.009312687667158315,0.008083789214374804,0.0012288984527835112
MeanAbsoluteError,0.0466291569173336,0.0466291569173336,0.021498061337874574,0.020269162885091063,0.0012288984527835112
Huber,0.00030741080990992486,0.01797100529074669,0.0006212384412869199,0.0006076600114965913,0.0012288984527835112
LogCosh,0.0006215592147782445,0.028329551219940186,0.030870977616400452,0.032099876069183964,0.0012288984527835112
MeanAbsoluteError,0.06797850877046585,0.06797850877046585,0.041423212834338585,0.042652111287122096,0.0012288984527835112
MeanSquaredError,0.005400752183049917,0.05631328746676445,0.06005767601536505,0.058828777562581536,0.0012288984527835112
LogCosh,0.0002175530680688098,0.015433531254529953,0.01310370596338295,0.011874807510599439,0.0012288984527835112
MeanSquaredError,0.0005089693586342037,0.016821324825286865,0.017944823839965096,0.016715925387181585,0.0012288984527835112
Huber,0.0010916331084445119,0.03656553849577904,0.03986037046687585,0.03863147201409234,0.0012288984527835112
MeanAbsoluteError,0.05171395465731621,0.05171395465731621,0.047230965743226605,0.046002067290443094,0.0012288984527835112
MeanSquaredError,0.0005409619770944118,0.016351524740457535,0.0037555046432107275,0.004984403095994239,0.0012288984527835112
Huber,0.0004525167169049382,0.02244168519973755,0.00810833661121535,0.006879438158431839,0.0012288984527835112
MeanAbsoluteError,0.06406904011964798,0.06406904011964798,0.02298781104850356,0.02421670950128707,0.0012288984527835112
LogCosh,0.0007934147724881768,0.030170926824212074,0.036491856945920276,0.035262958493136765,0.0012288984527835112
MeanAbsoluteError,0.05446380749344826,0.05446380749344826,0.009133189947846176,0.007904291495062665,0.0012288984527835112
LogCosh,0.0006001239526085556,0.02474392019212246,0.014153894285481528,0.015382792738265039,0.0012288984527835112
Huber,0.0009042437886819243,0.02885771170258522,0.0181034553927244,0.01933235384550791,0.0012288984527835112
MeanSquaredError,0.005254735238850117,0.04897499084472656,0.03098622315205013,0.03221512160483364,0.0012288984527835112
LogCosh,0.0005138156702741981,0.023778198286890984,0.0056258397697135365,0.004396941316930025,0.0012288984527835112
Huber,0.0012917856220155954,0.03681812435388565,0.012864769725185354,0.011635871272401843,0.0012288984527835112
MeanAbsoluteError,0.05379005894064903,0.05379005894064903,0.025122277066490284,0.026351175519273795,0.0012288984527835112
MeanSquaredError,0.000855164194945246,0.022836090996861458,0.02889345009111466,0.03012234854389817,0.0012288984527835112
MeanSquaredError,0.0012476533884182572,0.02586759813129902,0.0019349215513653206,0.0007060230985818094,0.0012288984527835112
MeanAbsoluteError,0.04317990317940712,0.04317990317940712,0.009377702898644813,0.010606601351428324,0.0012288984527835112
Huber,0.00039459194522351027,0.022180110216140747,0.019037185801375145,0.020266084254158656,0.0012288984527835112
LogCosh,0.0008072719792835414,0.03298509493470192,0.04645788063272427,0.04522898217994076,0.0012288984527835112
MeanSquaredError,0.0016105055110529065,0.02729005366563797,0.0191011429068233,0.017872244454039787,0.0012288984527835112
LogCosh,0.0026178506668657064,0.05745396390557289,0.025470459031081916,0.024241560578298404,0.0012288984527835112
Huber,0.0016311395447701216,0.04242642596364021,0.04061054777938011,0.041839446232163624,0.0012288984527835112
MeanAbsoluteError,0.07458779960870743,0.07458779960870743,0.07679097754245667,0.07556207908967316,0.0012288984527835112
MeanAbsoluteError,0.046847958117723465,0.046847958117723465,0.003122585340355144,0.004351483793138655,0.0012288984527835112
LogCosh,0.0005307281389832497,0.024591391906142235,0.007717520162982439,0.00894641861576595,0.0012288984527835112
Huber,0.0007873083231970668,0.02327815443277359,0.0127220276147888,0.013950926067572311,0.0012288984527835112
MeanSquaredError,0.0019046299858018756,0.03423677757382393,0.02500587654705022,0.02377697809426671,0.0012288984527835112
