function,loss,mae,reference,predicted,calculated
MeanSquaredError,0.0022410808596760035,0.02114715799689293,0.012920508906711252,0.01419956492121899,0.012921303043104541
MeanAbsoluteError,0.019733121618628502,0.019733121618628502,0.012920508906711252,0.012085508422313313,0.012921303043104541
Huber,9.716259955894202e-05,0.00850420631468296,0.012920508906711252,0.012878886009656693,0.012921303043104541
LogCosh,0.0009389886981807649,0.021513313055038452,0.012920508906711252,0.0222234647359446,0.012921303043104541
MeanSquaredError,0.0021775721106678247,0.0209432952105999,0.012920508906711252,0.014449538523690356,0.012921303043104541
MeanAbsoluteError,0.015675699338316917,0.015675699338316917,0.012920508906711252,0.014188555730797355,0.012921303043104541
Huber,9.530795068712905e-05,0.00915537029504776,0.012920508906711252,0.013294889588974033,0.012921303043104541
LogCosh,4.53110842499882e-05,0.006306532770395279,0.012920508906711252,0.009915837933390983,0.012921303043104541
MeanSquaredError,0.00018100028682965785,0.008560484275221825,0.012920508906711252,0.016081591193255532,0.012921303043104541
MeanAbsoluteError,0.017502296715974808,0.017502296715974808,0.012920508906711252,0.009062723624997607,0.012921303043104541
Huber,0.0010731022339314222,0.020961569622159004,0.012920508906711252,0.01123730106452034,0.012921303043104541
LogCosh,8.487726881867275e-05,0.008589891716837883,0.012920508906711252,0.014362133851872325,0.012921303043104541
MeanSquaredError,0.00015640060883015394,0.008102827705442905,0.012920508906711252,0.012732059468762123,0.012921303043104541
MeanAbsoluteError,0.020578604191541672,0.020578604191541672,0.012920508906711252,0.010468341550000078,0.012921303043104541
Huber,8.668696682434529e-05,0.008994239382445812,0.012920508906711252,0.018232619187678812,0.012921303043104541
LogCosh,0.00014647121133748442,0.010501968674361706,0.012920508906711252,0.010208642626221684,0.012921303043104541
MeanSquaredError,0.00029987431480549276,0.009753625839948654,0.012920508906711252,0.009857348400190473,0.012921303043104541
MeanAbsoluteError,0.015577679499983788,0.015577679499983788,0.012920508906711252,0.016163619033653133,0.012921303043104541
Huber,0.0002682295744307339,0.011964568868279457,0.012920508906711252,0.012485466254399512,0.012921303043104541
LogCosh,5.833383693243377e-05,0.00681753596290946,0.012920508906711252,0.014936096855640645,0.012921303043104541
