function,loss,mae,reference,predicted,calculated
MeanSquaredError,0.0009356645750813186,0.023369379341602325,-12.731740643679169,-12.729036271069537,-12.732969542131952
MeanAbsoluteError,0.021014131605625153,0.021014131605625153,-12.731740643679169,-12.732095997896293,-12.732969542131952
Huber,0.00019257617532275617,0.015712173655629158,-12.731740643679169,-12.723225094088109,-12.732969542131952
LogCosh,0.00034681125544011593,0.020596608519554138,-12.731740643679169,-12.745383342033515,-12.732969542131952
MeanSquaredError,0.00028570007998496294,0.0129972193390131,-12.731740643679169,-12.733788399088402,-12.732969542131952
MeanAbsoluteError,0.027069784700870514,0.027069784700870514,-12.731740643679169,-12.74758920182737,-12.732969542131952
Huber,0.00018647547403816134,0.015188200399279594,-12.731740643679169,-12.73274951854178,-12.732969542131952
LogCosh,0.0002902030246332288,0.01828659325838089,-12.731740643679169,-12.734242134048545,-12.732969542131952
MeanSquaredError,0.0002544742019381374,0.01250356063246727,-12.731740643679169,-12.734786362882843,-12.732969542131952
MeanAbsoluteError,0.017100773751735687,0.017100773751735687,-12.731740643679169,-12.738223919165709,-12.732969542131952
Huber,0.00034131089341826737,0.01978367194533348,-12.731740643679169,-12.739012499408032,-12.732969542131952
LogCosh,0.00022120111680123955,0.016458993777632713,-12.731740643679169,-12.738152193392612,-12.732969542131952
MeanSquaredError,0.00039393192855641246,0.01549021527171135,-12.731740643679169,-12.728099545921742,-12.732969542131952
MeanAbsoluteError,0.026792632415890694,0.026792632415890694,-12.731740643679169,-12.760198577558379,-12.732969542131952
Huber,0.00014665175694972277,0.013253960758447647,-12.731740643679169,-12.741101095346211,-12.732969542131952
LogCosh,0.0002405689883744344,0.017176786437630653,-12.731740643679169,-12.724107244479752,-12.732969542131952
MeanSquaredError,0.0002904866123571992,0.013377659022808075,-12.731740643679169,-12.730256475289952,-12.732969542131952
MeanAbsoluteError,0.026023568585515022,0.026023568585515022,-12.731740643679169,-12.717301539505,-12.732969542131952
Huber,0.00022254465147852898,0.016306547448039055,-12.731740643679169,-12.742690003038446,-12.732969542131952
LogCosh,0.00014228861255105585,0.012988039292395115,-12.731740643679169,-12.735721247233629,-12.732969542131952
