function,loss,mae,reference,predicted,calculated
MeanSquaredError,0.0007070817518979311,0.020439570769667625,0.11107546105279842,0.11140612645954406,0.11168567293761832
MeanAbsoluteError,0.028470030054450035,0.028470030054450035,0.11107546105279842,0.11219046002423318,0.11168567293761832
Huber,0.0007599107921123505,0.029271505773067474,0.11107546105279842,0.12673026396102413,0.11168567293761832
LogCosh,0.00036913889925926924,0.02095906436443329,0.11107546105279842,0.09465988615684535,0.11168567293761832
MeanSquaredError,0.0006057464051991701,0.018706630915403366,0.11107546105279842,0.10314527534077124,0.11168567293761832
MeanAbsoluteError,0.027968842536211014,0.027968842536211014,0.11107546105279842,0.11744852949132512,0.11168567293761832
Huber,0.00032440273207612336,0.019524889066815376,0.11107546105279842,0.09654878863049898,0.11168567293761832
LogCosh,0.00032805808586999774,0.019994936883449554,0.11107546105279842,0.10880120720164244,0.11168567293761832
MeanSquaredError,0.0014777714386582375,0.02874080277979374,0.11107546105279842,0.11191106035110716,0.11168567293761832
MeanAbsoluteError,0.023271853104233742,0.023271853104233742,0.11107546105279842,0.08571213790223943,0.11168567293761832
Huber,0.0003811745555140078,0.021640170365571976,0.11107546105279842,0.11454496106834576,0.11168567293761832
LogCosh,0.0002818583161570132,0.01817321963608265,0.11107546105279842,0.12190210176042239,0.11168567293761832
MeanSquaredError,0.0006515610730275512,0.019638339057564735,0.11107546105279842,0.11933888150307632,0.11168567293761832
MeanAbsoluteError,0.032674748450517654,0.032674748450517654,0.11107546105279842,0.08540689184303896,0.11168567293761832
Huber,0.0002967769978567958,0.018808603286743164,0.11107546105279842,0.11384647534758652,0.11168567293761832
LogCosh,0.000507870689034462,0.02455875277519226,0.11107546105279842,0.08522686903932494,0.11168567293761832
MeanSquaredError,0.0004185961442999542,0.01580985076725483,0.11107546105279842,0.09986651220994394,0.11168567293761832
MeanAbsoluteError,0.03323616087436676,0.03323616087436676,0.11107546105279842,0.07252591235514211,0.11168567293761832
Huber,0.000941114907618612,0.03328479081392288,0.11107546105279842,0.11239438634703555,0.11168567293761832
LogCosh,0.00034623558167368174,0.020632514730095863,0.11107546105279842,0.10747664175481463,0.11168567293761832
