function,loss,mae,reference,predicted,calculated
MeanSquaredError,0.0008686981745995581,0.006667729467153549,1.0978787705475284,1.104681010945927,1.0907965071400325
MeanAbsoluteError,0.0025514543522149324,0.0025514543522149324,1.0978787705475284,1.1054640724188722,1.0907965071400325
Huber,0.0004215845838189125,0.00724276527762413,1.0978787705475284,1.0947154965314512,1.0907965071400325
LogCosh,0.0003350677143316716,0.007304205093532801,1.0978787705475284,1.0938885165189633,1.0907965071400325
MeanSquaredError,0.0007323076133616269,0.007719790562987328,1.0978787705475284,1.0980805291509081,1.0907965071400325
MeanAbsoluteError,0.0031962613575160503,0.0031962613575160503,1.0978787705475284,1.0934331318776715,1.0907965071400325
Huber,0.00035930390004068613,0.005803641397505999,1.0978787705475284,1.1017519618711196,1.0907965071400325
LogCosh,0.00039102797745727,0.007236588280647993,1.0978787705475284,1.1083254866874503,1.0907965071400325
MeanSquaredError,0.0010765553452074528,0.010436330921947956,1.0978787705475284,1.0934343726107454,1.0907965071400325
MeanAbsoluteError,0.0031219515949487686,0.0031219515949487686,1.0978787705475284,1.0956853559607842,1.0907965071400325
Huber,0.0003298632800579071,0.005608545150607824,1.0978787705475284,1.0975104928118866,1.0907965071400325
LogCosh,0.0004621922562364489,0.014138968661427498,1.0978787705475284,1.1144064489691292,1.0907965071400325
MeanSquaredError,0.0007607473526149988,0.007806128356605768,1.0978787705475284,1.1048965255282417,1.0907965071400325
MeanAbsoluteError,0.00223841005936265,0.00223841005936265,1.0978787705475284,1.096527928426806,1.0907965071400325
Huber,0.0003325292491354048,0.00793013721704483,1.0978787705475284,1.1002763995083136,1.0907965071400325
LogCosh,0.0002606795751489699,0.005457751918584108,1.0978787705475284,1.1033856819372998,1.0907965071400325
MeanSquaredError,0.0013150883605703712,0.010967263951897621,1.0978787705475284,1.1051895874670554,1.0907965071400325
MeanAbsoluteError,0.0032176754903048277,0.0032176754903048277,1.0978787705475284,1.0929350668295625,1.0907965071400325
Huber,0.00037389210774563253,0.005661937408149242,1.0978787705475284,1.1022348225375316,1.0907965071400325
LogCosh,0.000456344336271286,0.010248425416648388,1.0978787705475284,1.107662467574848,1.0907965071400325
